case_id,source_image,mask_source,lung_area_fraction,n_components,selection_rule
1.000000-P4P100S300I00003 Gated 0.0A-29193-1-058,upscale_test_new_lung_Dgen/1.000000-P4P100S300I00003 Gated 0.0A-29193-1-058.tiff,1.000000-P4P100S300I00003 Gated 0.0A-29193-1-058_mask.tiff; label=1.0,0.103996,2,label 1; >=2 components of >=800px; area 3%-35%
1.000000-P4P117S301I00006 Gated 30.0A-04191-1-044,upscale_test_new_lung_Dgen/1.000000-P4P117S301I00006 Gated 30.0A-04191-1-044.tiff,1.000000-P4P117S301I00006 Gated 30.0A-04191-1-044_mask.tiff; label=1.0,0.045902,2,label 1; >=2 components of >=800px; area 3%-35%
1.000000-P4P117S301I00008 Gated 50.0A-70687-1-062,upscale_test_new_lung_Dgen/1.000000-P4P117S301I00008 Gated 50.0A-70687-1-062.tiff,1.000000-P4P117S301I00008 Gated 50.0A-70687-1-062_mask.tiff; label=1.0,0.088444,2,label 1; >=2 components of >=800px; area 3%-35%
1.000000-P4P117S301I00010 Gated 70.0A-84091-1-072,upscale_test_new_lung_Dgen/1.000000-P4P117S301I00010 Gated 70.0A-84091-1-072.tiff,1.000000-P4P117S301I00010 Gated 70.0A-84091-1-072_mask.tiff; label=1.0,0.090954,2,label 1; >=2 components of >=800px; area 3%-35%
1.000000-P4P117S302I00003 Gated 0.0A-54642-1-054,upscale_test_new_lung_Dgen/1.000000-P4P117S302I00003 Gated 0.0A-54642-1-054.tiff,1.000000-P4P117S302I00003 Gated 0.0A-54642-1-054_mask.tiff; label=1.0,0.107273,2,label 1; >=2 components of >=800px; area 3%-35%
1.000000-P4P117S302I00006 Gated 30.0A-18623-1-036,upscale_test_new_lung_Dgen/1.000000-P4P117S302I00006 Gated 30.0A-18623-1-036.tiff,1.000000-P4P117S302I00006 Gated 30.0A-18623-1-036_mask.tiff; label=1.0,0.060284,2,label 1; >=2 components of >=800px; area 3%-35%
1.000000-P4P117S302I00009 Gated 60.0A-40067-1-047,upscale_test_new_lung_Dgen/1.000000-P4P117S302I00009 Gated 60.0A-40067-1-047.tiff,1.000000-P4P117S302I00009 Gated 60.0A-40067-1-047_mask.tiff; label=1.0,0.088211,2,label 1; >=2 components of >=800px; area 3%-35%
1.000000-P4P117S302I00010 Gated 70.0A-60710-1-070,upscale_test_new_lung_Dgen/1.000000-P4P117S302I00010 Gated 70.0A-60710-1-070.tiff,1.000000-P4P117S302I00010 Gated 70.0A-60710-1-070_mask.tiff; label=1.0,0.051926,2,label 1; >=2 components of >=800px; area 3%-35%
1.000000-P4P117S303I00003 Gated 0.0A-45715-1-051,upscale_test_new_lung_Dgen/1.000000-P4P117S303I00003 Gated 0.0A-45715-1-051.tiff,1.000000-P4P117S303I00003 Gated 0.0A-45715-1-051_mask.tiff; label=1.0,0.094978,2,label 1; >=2 components of >=800px; area 3%-35%
1.000000-P4P117S303I00005 Gated 20.0A-54841-1-033,upscale_test_new_lung_Dgen/1.000000-P4P117S303I00005 Gated 20.0A-54841-1-033.tiff,1.000000-P4P117S303I00005 Gated 20.0A-54841-1-033_mask.tiff; label=1.0,0.040443,2,label 1; >=2 components of >=800px; area 3%-35%
1.000000-P4P117S304I00007 Gated 40.0A-06258-1-58,upscale_test_new_lung_Dgen/1.000000-P4P117S304I00007 Gated 40.0A-06258-1-58.tiff,1.000000-P4P117S304I00007 Gated 40.0A-06258-1-58_mask.tiff; label=1.0,0.095203,2,label 1; >=2 components of >=800px; area 3%-35%
1.000000-P4P117S304I00011 Gated 80.0A-89961-1-46,upscale_test_new_lung_Dgen/1.000000-P4P117S304I00011 Gated 80.0A-89961-1-46.tiff,1.000000-P4P117S304I00011 Gated 80.0A-89961-1-46_mask.tiff; label=1.0,0.080585,2,label 1; >=2 components of >=800px; area 3%-35%
1.000000-P4P117S305I00003 Gated 0.0A-96421-1-46,upscale_test_new_lung_Dgen/1.000000-P4P117S305I00003 Gated 0.0A-96421-1-46.tiff,1.000000-P4P117S305I00003 Gated 0.0A-96421-1-46_mask.tiff; label=1.0,0.086430,2,label 1; >=2 components of >=800px; area 3%-35%
1.000000-P4P117S305I00003 Gated 0.0A-96421-1-58,upscale_test_new_lung_Dgen/1.000000-P4P117S305I00003 Gated 0.0A-96421-1-58.tiff,1.000000-P4P117S305I00003 Gated 0.0A-96421-1-58_mask.tiff; label=1.0,0.106266,2,label 1; >=2 components of >=800px; area 3%-35%
1.000000-P4P117S305I00004 Gated 10.0A-28414-1-65,upscale_test_new_lung_Dgen/1.000000-P4P117S305I00004 Gated 10.0A-28414-1-65.tiff,1.000000-P4P117S305I00004 Gated 10.0A-28414-1-65_mask.tiff; label=1.0,0.104847,2,label 1; >=2 components of >=800px; area 3%-35%
1.000000-P4P117S305I00005 Gated 20.0A-05991-1-43,upscale_test_new_lung_Dgen/1.000000-P4P117S305I00005 Gated 20.0A-05991-1-43.tiff,1.000000-P4P117S305I00005 Gated 20.0A-05991-1-43_mask.tiff; label=1.0,0.077042,2,label 1; >=2 components of >=800px; area 3%-35%
1.000000-P4P117S305I00008 Gated 50.0A-65210-1-54,upscale_test_new_lung_Dgen/1.000000-P4P117S305I00008 Gated 50.0A-65210-1-54.tiff,1.000000-P4P117S305I00008 Gated 50.0A-65210-1-54_mask.tiff; label=1.0,0.096863,2,label 1; >=2 components of >=800px; area 3%-35%
1.000000-P4P117S305I00009 Gated 60.0A-75309-1-49,upscale_test_new_lung_Dgen/1.000000-P4P117S305I00009 Gated 60.0A-75309-1-49.tiff,1.000000-P4P117S305I00009 Gated 60.0A-75309-1-49_mask.tiff; label=1.0,0.084457,2,label 1; >=2 components of >=800px; area 3%-35%
1.000000-P4P117S306I00008 Gated 50.0A-77346-1-53,upscale_test_new_lung_Dgen/1.000000-P4P117S306I00008 Gated 50.0A-77346-1-53.tiff,1.000000-P4P117S306I00008 Gated 50.0A-77346-1-53_mask.tiff; label=1.0,0.091721,2,label 1; >=2 components of >=800px; area 3%-35%
1.000000-P4P117S308I00005 Gated 20.0A-76239-1-044,upscale_test_new_lung_Dgen/1.000000-P4P117S308I00005 Gated 20.0A-76239-1-044.tiff,1.000000-P4P117S308I00005 Gated 20.0A-76239-1-044_mask.tiff; label=1.0,0.048149,2,label 1; >=2 components of >=800px; area 3%-35%
1.000000-P4P117S308I00007 Gated 40.0A-32548-1-065,upscale_test_new_lung_Dgen/1.000000-P4P117S308I00007 Gated 40.0A-32548-1-065.tiff,1.000000-P4P117S308I00007 Gated 40.0A-32548-1-065_mask.tiff; label=1.0,0.074829,2,label 1; >=2 components of >=800px; area 3%-35%
1.000000-P4P117S308I00009 Gated 60.0A-55977-1-039,upscale_test_new_lung_Dgen/1.000000-P4P117S308I00009 Gated 60.0A-55977-1-039.tiff,1.000000-P4P117S308I00009 Gated 60.0A-55977-1-039_mask.tiff; label=1.0,0.032757,2,label 1; >=2 components of >=800px; area 3%-35%
